date,Africa,Americas,Asia,Europe,Oceania
1988,74.07,5.71,59.57,25.58,0
1989,83.33,5.71,63.83,25.58,7.14
1990,83.33,5.71,63.83,25.58,7.14
1991,85.19,5.71,63.83,25.58,7.14
1992,85.19,5.71,70.21,27.91,7.14
1993,85.19,5.71,70.21,27.91,7.14
1994,85.19,5.71,74.47,27.91,7.14
1995,87.04,5.71,76.6,27.91,7.14
1996,87.04,5.71,76.6,27.91,7.14
1997,87.04,5.71,76.6,27.91,7.14
1998,88.89,5.71,76.6,27.91,7.14
1999,88.89,5.71,76.6,27.91,7.14
2000,88.89,5.71,76.6,27.91,7.14
2001,88.89,5.71,76.6,27.91,7.14
2002,88.89,5.71,76.6,27.91,7.14
2003,88.89,5.71,76.6,27.91,7.14
2004,88.89,5.71,80.85,27.91,14.29
2005,88.89,8.57,80.85,27.91,14.29
2006,88.89,8.57,80.85,30.23,14.29
2007,88.89,8.57,80.85,30.23,14.29
2008,90.74,11.43,82.98,30.23,14.29
2009,90.74,17.14,82.98,30.23,14.29
2010,90.74,28.57,82.98,30.23,14.29
2011,96.3,60,85.11,32.56,14.29
2012,96.3,60,87.23,32.56,14.29
2013,96.3,68.57,87.23,32.56,14.29
2014,96.3,68.57,87.23,34.88,14.29
2015,96.3,71.43,87.23,34.88,14.29
2016,96.3,71.43,87.23,34.88,14.29
2017,96.3,71.43,87.23,34.88,14.29
2018,96.3,74.29,87.23,34.88,14.29
2019,96.3,77.14,87.23,34.88,14.29
2020,96.3,77.14,87.23,34.88,14.29
2021,96.3,77.14,87.23,34.88,14.29
2022,96.3,77.14,87.23,34.88,14.29
2023,96.3,77.14,87.23,34.88,14.29
2024,96.3,88.57,89.36,44.19,14.29
2025,96.3,94.29,89.36,51.16,21.43
